lambda,exp_idle,theo_idle,exp_rejection,theo_rejection,exp_relative,theo_relative,exp_absolute,theo_absolute,exp_avg_busy,theo_avg_busy
0.5,0.9404607793838866,0.7788009963176807,0,6.337898733054043E-06,1,0.999993662101267,0.6324238867034576,0.4999968310506335,0.29769610308056665,0.24999841552531674
1,0.9130905788887173,0.6065392513031117,0,0.000157952930026852,1,0.9998420470699731,1.0332453697108586,0.9998420470699731,0.4345471055564136,0.4999210235349866
1.5,0.8418381253508348,0.47242823035489784,0,0.0009342452797545587,1,0.9990657547202454,1.3331805508422068,1.4985986320803681,0.790809373245826,0.7492993160401841
2,0.8622152737160794,0.3680981595092025,0,0.0030674846625766876,1,0.9969325153374233,1.399803514246717,1.9938650306748467,0.688923631419603,0.9969325153374233
2.5,0.7818771661372595,0.28703238691442523,0,0.007299611076721833,1,0.9927003889232782,2.533128403245511,2.4817509723081956,1.0906141693137024,1.2408754861540978
3,0.7257779814679023,0.22412887410260898,0,0.014183155314305725,1,0.9858168446856943,3.033131124591694,2.9574505340570827,1.3711100926604887,1.4787252670285413
3.5,0.5492116980382853,0.17537574910763598,0.08547008547008547,0.023987143678808904,0.9145299145299145,0.9760128563211911,3.566275921701512,3.416044997124169,2.2539415098085733,1.7080224985620844
4,0.6826393692553091,0.13761467889908258,0.009615384615384616,0.03669724770642202,0.9903846153846154,0.963302752293578,3.432974244227387,3.853211009174312,1.5868031537234546,1.926605504587156
4.5,0.5793079673346024,0.10836466190278397,0.03424657534246575,0.052073770513488694,0.9657534246575342,0.9479262294865113,4.698225793332911,4.265668032689301,2.103460163326988,2.1328340163446504
5,0.5263678743654756,0.085685596340511,0.041379310344827586,0.06973111681356689,0.9586206896551724,0.9302688831864331,4.63326908533535,4.651344415932165,2.368160628172622,2.3256722079660825
5.5,0.5562923314179467,0.06806885102238994,0.045454545454545456,0.08921351339523863,0.9545454545454546,0.9107864866047614,4.899681847325381,5.0093256763261875,2.2185383429102665,2.5046628381630938
